id,nama,deskripsi,aktif,created_at,updated_at
4b0269d1-7716-41de-8af1-e6bc08c23004,BLOKIR,,t,2026-06-11 02:30:27.009357+00,2026-06-11 02:30:27.009357+00
9a478500-b9b4-4329-8e46-9d2d770b7dc8,SAKSI POLRES,,t,2026-06-11 02:30:47.11433+00,2026-06-11 02:30:47.11433+00
e5a57407-a14d-4545-b5c5-30e674135e24,SERTIFIKAT LAMA,,t,2026-06-11 03:05:07.667228+00,2026-06-11 03:05:07.667228+00
e548a650-6a73-4962-bb6b-3de18448e2aa,cek warkah,,t,2026-06-11 06:37:44.765361+00,2026-06-11 06:37:44.765361+00
0ac5ad6e-6e11-4aa9-90b2-421a8326c7e5,REVISI / DOUBLE HAK,,t,2026-06-11 07:49:13.042991+00,2026-06-11 07:49:13.042991+00
f1b3f71a-1ed6-4de0-b5ce-9977ec6b1e7e,PEMEKARAN DESA,,t,2026-06-11 02:22:44.520194+00,2026-06-11 07:55:37.11838+00
fcd4be8c-b773-4c28-8263-d7593c748cc1,PEMEKARAN KECAMATAN,,t,2026-06-11 07:55:54.267196+00,2026-06-11 07:55:54.267196+00
c03d2d93-5799-44f5-b048-dfaf6dbb8b84,KONSULTASI,,t,2026-06-11 08:15:21.881932+00,2026-06-11 08:15:21.881932+00
883d06c4-5f5f-4094-baf7-45150822d04b,PERALIHAN HAK WARIS,,t,2026-06-11 10:21:38.930412+00,2026-06-11 10:21:38.930412+00
109afcae-e8c5-449f-87d8-9ea2705092f5,PERALIHAN HAK HIBAH,,t,2026-06-11 10:21:52.469362+00,2026-06-11 10:21:52.469362+00
e12268a8-0e4d-402c-bccc-2723a5e9d3e5,PERMOHONAN SK,,t,2026-06-11 10:37:49.792002+00,2026-06-11 10:37:49.792002+00
662d4e1c-c973-4b79-86fd-0f652751ae5c,PEMBERIAN HGB,,t,2026-06-11 11:33:20.359523+00,2026-06-11 11:33:20.359523+00
40fa111c-461f-4db9-a3a3-4735f979a3b8,PENGEMBALIAN BATAS,,t,2026-06-12 03:26:05.206651+00,2026-06-12 03:26:05.206651+00
0a29ae8f-8b18-4fad-b213-a70046e76662,PENGUKURAN ULANG DAN PEMETAAN KADASTRAL,,t,2026-06-12 03:26:46.799208+00,2026-06-12 03:26:46.799208+00
f7d7f3a4-7c3a-4893-9cee-bc16d1d6c1a2,PEMISAHAN BIDANG,,t,2026-06-11 10:37:59.381327+00,2026-06-12 03:27:26.93845+00
6a7c78f2-7511-40bd-a310-29050719c808,PEMECAHAN BIDANG,-,t,2026-04-23 06:41:05.253079+00,2026-06-12 03:27:49.884314+00
07d3b5a0-80c5-48ed-8086-4f84b3791ca2,PENGGABUNGAN BIDANG,,t,2026-06-11 02:10:02.970138+00,2026-06-12 03:28:18.709043+00
fda8e719-1ace-40ce-a120-74e1116c9479,HAPUS HAK,,t,2026-06-12 11:34:37.225026+00,2026-06-12 11:34:37.225026+00
5a11929f-4058-400c-bb43-09c74753f79f,QIUCY,,t,2026-06-12 11:36:29.597377+00,2026-06-12 11:36:29.597377+00
0820c4a7-8d85-4a98-be3d-d9ffcba3afd0,PERBAIKAN SERTIFIKAT,,t,2026-06-12 11:41:58.182048+00,2026-06-12 11:41:58.182048+00
